text,size,topic
hands,2,3
romney,4,3
switches,2,3
voted,4,3
instagram,2,3
den,2,3
pelo,2,3
years,12,3
america,20,3
twitter,2,3
srhxk,2,3
influi,2,3
record,4,3
suppression,2,3
baz,2,3
youuglyonskype,2,3
state,2,3
boin,2,3
give,2,3
remain,2,3
querendo,2,3
pennsylvania,2,3
field,2,3
maglietta,2,3
gud,2,3
barackobama,-11,3
remix,2,3
love,4,3
gicopelo,2,3
obama,20,3
whoopin,2,3
irony,2,3
remind,4,3
twt,2,3
barack,2,3
fall,2,3
rsonumglkr,2,3
reportern,2,3
abcn,2,3
cnn,2,3
abc,2,3
retweet,4,3
decision,4,3
weary,2,3
mittromney,5,3
black,2,3
maker,4,3
erz,2,3
people,2,3
democracy,2,3
happened,2,3
stay,4,3
estados,2,3
americans,4,3
eine,2,3
speech,2,3
ebt,2,3
voter,2,3
interview,2,3
citizens,2,3
ass,2,3
luck,2,3
con,5,3
sbaracca,2,3
offices,2,3
numbers,2,3
nur,2,3
brasil,2,3
pic,2,3
tweets,2,3
blog,2,3
slbyz,2,3
ich,5,3
das,2,3
results,2,3
uscire,2,3
vorbereitet,2,3
ugly,2,3
domani,2,3
vorrei,2,3
sobre,2,3
dass,2,3
toughest,2,3
vincesse,2,3
campaign,2,3
virginia,2,3
squeezes,2,3
huff,2,3
job,2,3
twitpic,2,3
unidos,2,3
pbs,2,3
rede,2,3
cards,2,3
turnout,2,3
line,9,3
back,2,3
polls,2,3
lmfaooooooooo,2,3
mess,2,3
habe,2,3
gewinne,2,3
watching,5,3
tune,2,3
head,2,3
nos,2,3
ready,2,3
men,5,3
scritto,2,3
vote,52,3
make,20,3
fxn,2,3
win,2,3
chuckwill,2,3
niggas,2,3
election,7,3
resting,2,3
torcendo,4,3
una,2,3
solo,2,3
npr,2,3
hlt,2,3
cbs,2,3
huh,2,3
president,19,3
lmfaooo,2,3
